date,time,receipt_no,sales,rendered,change,payment_type
2026-08-06,19:58:47,0048,6.50,6.50,0.00,PayLah
2026-08-06,19:59:25,0049,4.50,4.50,0.00,Cash
2026-08-07,06:27:51,0001,4.00,4.00,0.00,PayLah
2026-08-07,06:52:36,0002,6.00,6.00,0.00,PayWave
2026-08-07,07:33:46,0003,4.00,4.00,0.00,Cash
2026-08-07,08:22:30,0004,3.50,3.50,0.00,PayWave
2026-08-07,08:41:20,0005,3.00,3.00,0.00,PayNow
2026-08-07,09:41:58,0006,5.50,5.50,0.00,PayNow
2026-08-07,09:50:08,0007,7.50,10.00,2.50,Cash
2026-08-07,10:10:08,0008,4.50,5.00,0.50,Cash
2026-08-07,10:22:01,0009,4.00,4.00,0.00,PayNow
2026-08-07,10:26:13,0010,3.50,3.50,0.00,Cash
2026-08-07,10:36:22,0011,5.50,5.50,0.00,PayNow
2026-08-07,10:45:52,0012,4.50,4.50,0.00,PayLah
2026-08-07,11:11:10,0013,6.50,6.50,0.00,Cash
2026-08-07,12:12:49,0014,8.00,8.00,0.00,PayLah
2026-08-07,12:14:39,0015,5.50,5.50,0.00,Cash
2026-08-07,12:56:19,0016,7.00,7.00,0.00,Cash
2026-08-07,14:21:38,0017,9.00,9.00,0.00,PayLah
2026-08-07,14:38:02,0018,10.00,10.00,0.00,PayWave
2026-08-07,15:06:48,0019,7.00,7.00,0.00,PayWave
2026-08-07,15:16:28,0020,7.00,7.00,0.00,Cash
2026-08-07,15:41:12,0021,5.50,5.50,0.00,PayNow
2026-08-07,15:56:13,0022,3.00,3.00,0.00,PayNow
2026-08-07,16:21:30,0023,7.50,7.50,0.00,PayNow
2026-08-07,17:11:56,0024,4.00,4.00,0.00,PayNow
2026-08-07,17:15:47,0025,5.50,10.00,4.50,Cash
2026-08-07,17:25:29,0026,5.50,5.50,0.00,PayLah
2026-08-07,18:12:06,0027,7.00,7.00,0.00,PayNow
2026-08-07,18:17:47,0028,6.50,10.00,3.50,Cash
2026-08-07,18:30:22,0029,9.00,9.00,0.00,Cash
2026-08-07,18:43:38,0030,5.00,5.00,0.00,Cash
2026-08-07,18:44:36,0031,5.00,5.00,0.00,Cash
2026-08-07,18:46:05,0032,7.00,7.00,0.00,Cash
2026-08-07,18:48:00,0033,5.50,5.50,0.00,PayNow
2026-08-07,19:31:59,0034,4.50,4.50,0.00,PayNow
2026-08-07,19:34:53,0035,4.50,4.50,0.00,PayNow
2026-08-07,19:55:44,0036,3.50,3.50,0.00,PayLah
2026-08-08,06:00:02,0001,4.00,4.00,0.00,PayNow
2026-08-08,06:17:19,0002,6.00,6.00,0.00,PayNow
2026-08-08,06:21:24,0003,4.50,4.50,0.00,Cash
2026-08-08,06:27:23,0004,6.00,6.00,0.00,PayNow
2026-08-08,07:28:22,0005,5.00,5.00,0.00,Cash
2026-08-08,07:53:54,0006,5.50,5.50,0.00,PayNow
2026-08-08,08:02:55,0007,4.00,4.00,0.00,Cash
2026-08-08,08:27:45,0008,7.00,10.00,3.00,Cash
2026-08-08,08:30:47,0009,7.00,7.00,0.00,PayLah
2026-08-08,08:41:38,0010,5.50,5.50,0.00,PayNow
2026-08-08,08:46:14,0011,6.00,10.00,4.00,Cash
2026-08-08,08:58:28,0012,6.00,6.00,0.00,PayWave
2026-08-08,09:23:17,0013,8.00,8.00,0.00,PayLah
2026-08-08,09:30:21,0014,7.50,10.00,2.50,Cash
2026-08-08,09:33:07,0015,8.00,8.00,0.00,PayNow
2026-08-08,09:51:18,0016,7.50,7.50,0.00,PayLah
2026-08-08,10:52:03,0017,5.50,5.50,0.00,PayWave
2026-08-08,11:06:11,0018,5.00,5.00,0.00,Cash
2026-08-08,11:11:49,0019,6.00,6.00,0.00,Cash
2026-08-08,11:14:09,0020,5.50,10.00,4.50,Cash
2026-08-08,11:17:35,0021,6.50,6.50,0.00,PayWave
2026-08-08,11:31:33,0022,4.50,4.50,0.00,PayNow
2026-08-08,11:39:52,0023,7.00,7.00,0.00,Cash
2026-08-08,11:43:20,0024,10.00,10.00,0.00,Cash
2026-08-08,11:47:04,0025,6.50,6.50,0.00,PayWave
2026-08-08,12:07:24,0026,5.50,10.00,4.50,Cash
2026-08-08,12:33:43,0027,3.50,3.50,0.00,PayLah
2026-08-08,12:47:09,0028,3.50,5.00,1.50,Cash
2026-08-08,13:12:11,0029,5.50,5.50,0.00,Cash
2026-08-08,13:34:46,0030,4.50,4.50,0.00,PayLah
2026-08-08,13:45:25,0031,5.00,5.00,0.00,PayLah
2026-08-08,13:55:03,0032,7.50,7.50,0.00,Cash
2026-08-08,13:58:31,0033,5.50,5.50,0.00,PayNow
2026-08-08,14:00:26,0034,6.00,10.00,4.00,Cash
2026-08-08,14:03:29,0035,7.00,7.00,0.00,PayLah
2026-08-08,14:04:07,0036,8.00,8.00,0.00,PayLah
2026-08-08,14:16:54,0037,5.50,5.50,0.00,PayWave
2026-08-08,15:23:42,0038,9.00,9.00,0.00,PayLah
2026-08-08,15:26:18,0039,8.00,10.00,2.00,Cash
2026-08-08,16:06:18,0040,3.00,3.00,0.00,PayNow
2026-08-08,16:19:23,0041,8.00,8.00,0.00,PayNow
2026-08-08,16:33:52,0042,5.00,5.00,0.00,PayWave
2026-08-08,16:47:31,0043,5.00,5.00,0.00,Cash
2026-08-08,16:57:30,0044,5.00,5.00,0.00,Cash
2026-08-08,17:39:49,0045,7.50,10.00,2.50,Cash
2026-08-08,17:50:34,0046,5.50,10.00,4.50,Cash
2026-08-08,17:53:01,0047,4.00,4.00,0.00,Cash
2026-08-08,18:01:00,0048,3.00,3.00,0.00,PayLah
2026-08-08,18:53:05,0049,7.00,7.00,0.00,PayWave
2026-08-08,19:06:54,0050,6.00,10.00,4.00,Cash
2026-08-08,19:53:10,0051,4.00,4.00,0.00,PayNow
2026-08-08,19:56:25,0052,5.50,5.50,0.00,PayNow
2026-08-10,06:01:19,0001,6.00,6.00,0.00,PayLah
2026-08-10,09:11:47,0002,3.00,3.00,0.00,PayWave
2026-08-10,09:13:08,0003,5.00,5.00,0.00,Cash
2026-08-10,09:20:41,0004,3.00,3.00,0.00,PayNow
2026-08-10,10:12:09,0005,7.50,10.00,2.50,Cash
2026-08-10,10:16:14,0006,5.00,5.00,0.00,Cash
2026-08-10,10:38:14,0007,6.00,6.00,0.00,PayNow
2026-08-10,11:06:56,0008,4.50,4.50,0.00,Cash
2026-08-10,11:09:48,0009,3.00,3.00,0.00,PayLah
2026-08-10,12:23:51,0010,5.50,5.50,0.00,PayNow
2026-08-10,12:24:32,0011,5.00,5.00,0.00,Cash
2026-08-10,12:34:02,0012,7.50,7.50,0.00,Cash
2026-08-10,12:45:08,0013,5.50,5.50,0.00,PayNow
2026-08-10,12:47:15,0014,6.50,6.50,0.00,Cash
2026-08-10,12:56:32,0015,8.00,8.00,0.00,PayNow
2026-08-10,13:06:11,0016,7.00,7.00,0.00,Cash
2026-08-10,13:19:29,0017,5.00,5.00,0.00,PayNow
2026-08-10,14:42:16,0018,6.00,6.00,0.00,PayLah
2026-08-10,14:49:57,0019,7.00,7.00,0.00,PayNow
2026-08-10,15:16:54,0020,7.00,7.00,0.00,Cash
2026-08-10,16:20:55,0021,5.50,5.50,0.00,PayLah
2026-08-10,16:41:55,0022,9.00,9.00,0.00,PayWave
2026-08-10,16:56:56,0023,6.50,6.50,0.00,PayNow
2026-08-10,17:04:20,0024,8.50,8.50,0.00,PayNow
2026-08-10,18:21:10,0025,5.00,5.00,0.00,PayLah
2026-08-10,18:26:36,0026,6.00,6.00,0.00,PayLah
2026-08-10,18:32:11,0027,4.00,4.00,0.00,PayLah
2026-08-10,18:36:34,0028,6.50,10.00,3.50,Cash
2026-08-10,19:16:51,0029,3.00,3.00,0.00,Cash
2026-08-10,19:34:11,0030,6.00,10.00,4.00,Cash
2026-08-11,06:30:12,0001,5.00,5.00,0.00,PayNow
2026-08-11,06:32:34,0002,5.50,5.50,0.00,PayNow
2026-08-11,06:37:18,0003,6.00,6.00,0.00,Cash
2026-08-11,07:07:16,0004,4.50,5.00,0.50,Cash
2026-08-11,07:30:26,0005,8.00,8.00,0.00,PayWave
2026-08-11,07:33:16,0006,6.00,6.00,0.00,Cash
2026-08-11,07:40:59,0007,5.50,10.00,4.50,Cash
2026-08-11,07:42:28,0008,9.00,9.00,0.00,Cash
2026-08-11,07:47:21,0009,4.00,4.00,0.00,PayLah
2026-08-11,07:49:43,0010,5.00,5.00,0.00,Cash
2026-08-11,07:56:47,0011,7.00,10.00,3.00,Cash
2026-08-11,09:28:07,0012,9.00,9.00,0.00,Cash
2026-08-11,10:22:41,0013,6.00,6.00,0.00,PayWave
2026-08-11,10:31:17,0014,7.00,7.00,0.00,Cash
2026-08-11,10:38:13,0015,8.00,8.00,0.00,Cash
2026-08-11,11:24:04,0016,3.50,3.50,0.00,PayNow
2026-08-11,12:17:18,0017,5.00,5.00,0.00,PayNow
2026-08-11,12:25:53,0018,5.00,5.00,0.00,PayLah
2026-08-11,12:33:02,0019,7.50,7.50,0.00,PayNow
2026-08-11,12:45:59,0020,8.00,8.00,0.00,Cash
2026-08-11,12:54:35,0021,5.50,5.50,0.00,PayWave
2026-08-11,13:44:20,0022,6.50,6.50,0.00,PayNow
2026-08-11,14:34:48,0023,8.50,8.50,0.00,PayNow
2026-08-11,15:17:33,0024,4.00,4.00,0.00,PayWave
2026-08-11,15:37:27,0025,8.00,8.00,0.00,PayNow
2026-08-11,15:39:37,0026,10.00,10.00,0.00,PayNow
2026-08-11,16:24:28,0027,8.00,8.00,0.00,PayWave
2026-08-11,16:48:54,0028,7.00,7.00,0.00,PayNow
2026-08-11,17:19:32,0029,6.50,10.00,3.50,Cash
2026-08-11,18:01:22,0030,3.00,3.00,0.00,Cash
2026-08-11,18:31:08,0031,5.00,5.00,0.00,PayNow
2026-08-11,18:33:00,0032,4.00,4.00,0.00,PayLah
2026-08-11,18:52:23,0033,4.00,4.00,0.00,PayNow
2026-08-11,19:01:27,0034,5.00,5.00,0.00,Cash
2026-08-11,19:03:38,0035,6.00,6.00,0.00,PayNow
2026-08-11,19:37:15,0036,7.00,7.00,0.00,PayWave
2026-08-12,06:00:58,0001,4.50,4.50,0.00,PayWave
2026-08-12,06:03:00,0002,6.50,6.50,0.00,Cash
2026-08-12,06:10:41,0003,7.00,10.00,3.00,Cash
2026-08-12,06:23:03,0004,6.00,6.00,0.00,PayWave
2026-08-12,06:26:42,0005,7.50,7.50,0.00,PayWave
2026-08-12,06:27:03,0006,6.50,6.50,0.00,Cash
2026-08-12,06:32:57,0007,8.50,10.00,1.50,Cash
2026-08-12,06:59:44,0008,8.00,8.00,0.00,PayNow
2026-08-12,07:05:54,0009,4.00,4.00,0.00,PayWave
2026-08-12,08:15:10,0010,6.50,6.50,0.00,Cash
2026-08-12,08:44:02,0011,7.50,7.50,0.00,PayNow
2026-08-12,08:56:49,0012,5.50,10.00,4.50,Cash
2026-08-12,09:05:02,0013,7.50,7.50,0.00,Cash
2026-08-12,09:07:34,0014,8.00,10.00,2.00,Cash
2026-08-12,09:14:19,0015,8.00,8.00,0.00,Cash
2026-08-12,09:21:10,0016,5.00,5.00,0.00,PayWave
2026-08-12,09:50:47,0017,8.00,10.00,2.00,Cash
2026-08-12,10:28:43,0018,3.50,3.50,0.00,PayLah
2026-08-12,10:56:04,0019,7.50,7.50,0.00,PayNow
2026-08-12,10:57:52,0020,4.00,4.00,0.00,PayNow
2026-08-12,11:42:18,0021,5.50,5.50,0.00,PayNow
2026-08-12,11:48:41,0022,4.50,4.50,0.00,PayNow
2026-08-12,11:51:52,0023,5.00,5.00,0.00,PayLah
2026-08-12,13:07:13,0024,4.00,4.00,0.00,PayNow
2026-08-12,13:11:34,0025,5.50,10.00,4.50,Cash
2026-08-12,13:43:44,0026,3.00,5.00,2.00,Cash
2026-08-12,14:08:11,0027,8.50,8.50,0.00,PayNow
2026-08-12,14:31:05,0028,5.00,5.00,0.00,PayNow
2026-08-12,14:49:34,0029,4.00,4.00,0.00,PayLah
2026-08-12,15:40:45,0030,9.00,9.00,0.00,Cash
2026-08-12,15:44:15,0031,8.00,8.00,0.00,PayLah
2026-08-12,15:53:43,0032,8.00,8.00,0.00,PayNow
2026-08-12,16:10:34,0033,4.50,4.50,0.00,Cash
2026-08-12,16:19:26,0034,9.00,9.00,0.00,PayNow
2026-08-12,16:44:43,0035,8.00,8.00,0.00,PayWave
2026-08-12,17:10:07,0036,7.50,10.00,2.50,Cash
2026-08-12,18:36:29,0037,4.00,4.00,0.00,PayNow
2026-08-12,19:04:11,0038,6.50,6.50,0.00,PayNow
2026-08-12,19:10:46,0039,6.00,6.00,0.00,PayWave
2026-08-12,19:48:26,0040,8.00,8.00,0.00,PayLah
2026-08-13,06:58:36,0001,7.00,7.00,0.00,PayNow
2026-08-13,07:23:05,0002,7.50,7.50,0.00,PayNow
2026-08-13,07:28:50,0003,8.00,8.00,0.00,PayLah
2026-08-13,08:09:00,0004,5.50,5.50,0.00,PayWave
2026-08-13,08:18:45,0005,9.00,9.00,0.00,PayNow
2026-08-13,09:01:00,0006,7.00,7.00,0.00,PayNow
2026-08-13,09:06:21,0007,4.00,5.00,1.00,Cash
2026-08-13,09:12:09,0008,7.00,7.00,0.00,Cash
2026-08-13,09:21:20,0009,6.00,6.00,0.00,Cash
2026-08-13,09:32:18,0010,7.00,7.00,0.00,PayLah
2026-08-13,10:54:36,0011,5.50,5.50,0.00,PayWave
2026-08-13,11:08:35,0012,5.00,5.00,0.00,PayLah
2026-08-13,11:37:30,0013,8.00,8.00,0.00,Cash
2026-08-13,11:41:59,0014,8.00,10.00,2.00,Cash
2026-08-13,12:30:21,0015,7.50,7.50,0.00,PayWave
2026-08-13,13:11:16,0016,4.00,4.00,0.00,Cash
2026-08-13,13:45:36,0017,4.00,4.00,0.00,Cash
2026-08-13,14:09:49,0018,8.00,8.00,0.00,PayNow
2026-08-13,14:53:36,0019,8.50,10.00,1.50,Cash
2026-08-13,15:02:59,0020,8.00,8.00,0.00,PayWave
2026-08-13,15:08:13,0021,5.50,5.50,0.00,PayLah
2026-08-13,15:52:59,0022,8.00,8.00,0.00,Cash
2026-08-13,16:40:15,0023,10.00,10.00,0.00,Cash
2026-08-13,16:43:30,0024,8.00,10.00,2.00,Cash
2026-08-13,16:48:14,0025,6.50,6.50,0.00,PayLah
2026-08-13,17:03:24,0026,6.50,10.00,3.50,Cash
